order_id,product_id,seller_id,quantity,list_price,unit_price,item_total
O811458,P51370,S20189,1,18596,16299.49,16299.49
O811458,P50752,S20183,1,3169,2585.25,2585.25
O811458,P51441,S20132,1,7592,4907.75,4907.75
O800295,P51191,S20239,1,10364,9498.7,9498.7
O805421,P50627,S20089,1,16253,10539.72,10539.72
O808829,P50946,S20208,1,1041,978.92,978.92
O803658,P51033,S20081,1,4876,3084.71,3084.71
O805813,P50678,S20207,1,1839,1036.11,1036.11
O801370,P50899,S20195,1,12839,12404.73,12404.73
O803781,P51361,S20082,1,28543,24792.61,24792.61
O807349,P50110,S20079,1,5494,4133.39,4133.39
O807349,P50179,S20236,1,58884,45291.45,45291.45
O809564,P50976,S20212,1,6085,5037.84,5037.84
O804990,P51434,S20035,1,11957,8796.07,8796.07
O801398,P50180,S20129,1,3069,2196.6,2196.6
O802468,P50366,S20028,2,3919,3597.58,7195.16
O803851,P50173,S20074,1,37275,28667.25,28667.25
O803851,P50085,S20152,1,4674,2989.96,2989.96
O811267,P50547,S20022,1,6909,5128.21,5128.21
O802659,P50946,S20052,1,1041,672.35,672.35
O811227,P51086,S20235,1,53288,48713.17,48713.17
O811227,P50430,S20191,2,5403,3624.62,7249.24
O808825,P50657,S20077,1,4658,2753.29,2753.29
O808825,P51397,S20203,1,3768,3325.92,3325.92
O800087,P50263,S20074,1,233,189.84,189.84
O805690,P50168,S20131,1,25055,24799.72,24799.72
O803365,P50316,S20073,1,7744,6304.84,6304.84
O803365,P50403,S20012,1,93264,82080.72,82080.72
O802906,P50212,S20156,1,32868,26150.55,26150.55
O802906,P50633,S20148,1,9932,9426.32,9426.32
O802906,P50961,S20097,1,50381,46795.37,46795.37
O810043,P51384,S20135,1,4924,4376.27,4376.27
O810043,P50671,S20097,1,3870,3487.93,3487.93
O810043,P50122,S20135,1,3253,2750.47,2750.47
O810043,P51045,S20220,1,144768,87460.69,87460.69
O808835,P51241,S20244,1,3791,3130.52,3130.52
O808835,P50552,S20211,1,1782,1191.4,1191.4
O808835,P50876,S20038,1,2318,1657.51,1657.51
O808835,P50393,S20080,1,23779,18063.14,18063.14
O804424,P50556,S20166,2,43604,37308.76,74617.52
O811176,P50260,S20233,1,1451,1307.45,1307.45
O809257,P50523,S20219,2,507,310.67,621.34
O805162,P50232,S20180,1,23458,22002.37,22002.37
O800475,P50287,S20069,1,2885,2071.89,2071.89
O809392,P50375,S20036,1,5670,3978.14,3978.14
O807810,P50935,S20094,1,737,737.0,737.0
O809041,P50713,S20198,1,4071,3645.89,3645.89
O811361,P50831,S20172,1,5734,3886.59,3886.59
O810901,P50086,S20159,1,2853,2203.15,2203.15
O800407,P50896,S20158,2,73061,59320.21,118640.42
O802822,P50692,S20128,3,45352,33558.91,100676.73
O805547,P50169,S20129,1,966,789.94,789.94
O810159,P51252,S20053,1,5046,4261.61,4261.61
O810159,P51234,S20158,3,4878,3589.15,10767.45
O802688,P50492,S20141,2,1325,1232.25,2464.5
O802688,P50021,S20118,1,24756,22102.43,22102.43
O802688,P51325,S20151,1,2719,1735.8,1735.8
O803184,P50031,S20012,1,4425,3217.73,3217.73
O811409,P51334,S20083,1,5732,4374.92,4374.92
O808793,P50344,S20202,1,2507,1305.35,1305.35
O800474,P51160,S20002,1,66,52.42,52.42
O800474,P50483,S20072,1,2417,1825.3,1825.3
O800474,P50576,S20033,1,1833,1184.97,1184.97
O808699,P51451,S20009,1,6271,4722.2,4722.2
O801153,P51005,S20078,1,3972,3262.94,3262.94
O801153,P50315,S20112,1,23614,17678.93,17678.93
O809630,P50766,S20069,1,42271,31407.44,31407.44
O809630,P50924,S20010,1,8270,7191.72,7191.72
O811843,P51086,S20226,1,53288,50448.58,50448.58
O811843,P50587,S20230,1,1206,1013.4,1013.4
O811440,P50281,S20124,1,26316,13736.81,13736.81
O811440,P50034,S20107,1,139440,78391.32,78391.32
O811440,P50374,S20028,1,30371,26813.33,26813.33
O806702,P51286,S20110,1,23619,20490.48,20490.48
O808722,P50052,S20103,1,807,636.89,636.89
O808688,P50808,S20157,2,6799,5330.71,10661.42
O808688,P50515,S20078,1,1842,998.84,998.84
O803457,P50513,S20001,1,7946,5952.25,5952.25
O803457,P50290,S20214,1,1397,1190.66,1190.66
O802105,P50928,S20140,1,8235,7891.72,7891.72
O802105,P50484,S20089,2,7259,3782.84,7565.68
O802911,P51457,S20116,2,5106,3852.35,7704.7
O802911,P50652,S20235,1,124806,96535.18,96535.18
O805881,P51138,S20164,1,6130,4481.56,4481.56
O805881,P51138,S20148,1,6130,4966.5,4966.5
O802205,P50774,S20020,1,2533,2005.47,2005.47
O802205,P50123,S20041,1,5231,4360.84,4360.84
O802205,P51318,S20196,1,3870,2564.56,2564.56
O808478,P51410,S20189,1,6294,4089.06,4089.06
O811513,P50272,S20070,1,2422,2422.0,2422.0
O808984,P50664,S20122,1,14327,10606.03,10606.03
O808984,P51405,S20087,1,54968,42130.26,42130.26
O802387,P51245,S20186,1,6260,4240.82,4240.82
O803747,P51165,S20078,1,7003,4414.56,4414.56
O811150,P51244,S20067,1,37453,27339.34,27339.34
O811150,P50198,S20022,1,26276,19548.42,19548.42
O803920,P50082,S20175,1,1259,765.58,765.58
O801634,P50928,S20088,1,8235,4415.07,4415.07
O803251,P51236,S20014,1,29320,25818.23,25818.23
O804785,P51330,S20044,1,7612,4908.49,4908.49
O805681,P50377,S20140,2,884,863.07,1726.14
O805681,P51296,S20001,1,3984,2457.34,2457.34
O801113,P50982,S20184,1,373,323.39,323.39
O811004,P51084,S20111,1,11709,7460.67,7460.67
O811004,P50346,S20101,1,86292,72520.22,72520.22
O808510,P50030,S20008,1,2806,2507.09,2507.09
O808944,P51383,S20150,1,4995,4177.81,4177.81
O802633,P50551,S20140,1,6721,4314.77,4314.77
O810780,P51344,S20164,1,6970,5151.21,5151.21
O807325,P50275,S20068,1,102521,78372.26,78372.26
O807325,P50744,S20016,1,144195,133123.59,133123.59
O801027,P50417,S20210,1,6835,4965.74,4965.74
O808103,P50832,S20021,1,11204,7571.76,7571.76
O802385,P51263,S20159,1,3791,1770.36,1770.36
O803736,P51173,S20127,1,547,538.09,538.09
O803736,P51085,S20113,1,29505,23545.59,23545.59
O802636,P50732,S20186,1,60076,54840.4,54840.4
O802636,P50428,S20021,1,6886,5582.02,5582.02
