order_id,order_date,customer_id,order_status,city,state,pincode
O811458,2024-01-01 00:10:17,C102875,delivered,Ahmedabad,Gujarat,439738
O800295,2024-01-01 00:13:34,C101317,delivered,Nagpur,Maharashtra,161690
O805421,2024-01-01 01:15:54,C102998,cancelled,Hyderabad,Telangana,400431
O808829,2024-01-01 04:06:27,C102138,delivered,Noida,Uttar Pradesh,509022
O803658,2024-01-01 04:31:31,C102792,delivered,Lucknow,Uttar Pradesh,196569
O805813,2024-01-01 11:05:06,C101476,delivered,Kanpur,Uttar Pradesh,329678
O801370,2024-01-01 12:54:35,C102017,delivered,Kolkata,West Bengal,131518
O803781,2024-01-01 16:05:42,C100950,delivered,Delhi,Delhi,146948
O807349,2024-01-01 16:15:27,C102487,delivered,Kolkata,West Bengal,511336
O809564,2024-01-01 18:16:23,C102504,delivered,Indore,Madhya Pradesh,186215
O804990,2024-01-01 18:21:23,C102348,cancelled,Surat,Gujarat,551259
O801398,2024-01-01 18:40:58,C101513,delivered,Kolkata,West Bengal,326651
O802468,2024-01-01 18:42:03,C100598,delivered,Mysuru,Karnataka,190857
O803851,2024-01-01 18:50:24,C102203,delivered,Noida,Uttar Pradesh,350740
O811267,2024-01-01 20:07:25,C101154,delivered,Mumbai,Maharashtra,537557
O802659,2024-01-01 20:45:45,C100624,delivered,Jaipur,Rajasthan,347403
O811227,2024-01-02 00:41:55,C102248,delivered,Chennai,Tamil Nadu,663360
O808825,2024-01-02 00:49:19,C102507,returned,Chennai,Tamil Nadu,384535
O800087,2024-01-02 01:30:10,C102051,delivered,Noida,Uttar Pradesh,244670
O805690,2024-01-02 02:08:58,C101949,cancelled,Lucknow,Uttar Pradesh,277071
O803365,2024-01-02 02:34:32,C101607,delivered,Chennai,Tamil Nadu,434787
O802906,2024-01-02 02:54:07,C100863,delivered,Bhopal,Madhya Pradesh,201891
O810043,2024-01-02 03:15:13,C100125,delivered,Lucknow,Uttar Pradesh,460002
O808835,2024-01-02 03:26:22,C102074,delivered,Bengaluru,Karnataka,432089
O804424,2024-01-02 05:35:00,C102102,delivered,Mysuru,Karnataka,611443
O811176,2024-01-02 05:50:12,C102812,delivered,Surat,Gujarat,460639
O809257,2024-01-02 06:06:47,C101453,delivered,Surat,Gujarat,234338
O805162,2024-01-02 09:27:49,C102828,delivered,Surat,Gujarat,188563
O800475,2024-01-02 11:53:09,C102106,cancelled,Ahmedabad,Gujarat,626404
O809392,2024-01-02 12:36:17,C101674,delivered,Jaipur,Rajasthan,684673
O807810,2024-01-02 13:34:18,C101711,delivered,Ahmedabad,Gujarat,575432
O809041,2024-01-02 15:16:46,C101248,cancelled,Gurugram,Haryana,438477
O811361,2024-01-02 16:40:51,C102415,delivered,Coimbatore,Tamil Nadu,243021
O810901,2024-01-02 22:13:36,C102770,delivered,Gurugram,Haryana,460857
O800407,2024-01-03 00:57:31,C102387,returned,Coimbatore,Tamil Nadu,289354
O802822,2024-01-03 01:16:07,C101667,delivered,Lucknow,Uttar Pradesh,643008
O805547,2024-01-03 01:19:49,C101565,delivered,Nagpur,Maharashtra,127669
O810159,2024-01-03 03:24:30,C101807,delivered,Kanpur,Uttar Pradesh,616508
O802688,2024-01-03 05:34:48,C100226,delivered,Kolkata,West Bengal,255006
O803184,2024-01-03 07:21:09,C100579,delivered,Kanpur,Uttar Pradesh,572970
O811409,2024-01-03 09:24:51,C102312,delivered,Gurugram,Haryana,528318
O808793,2024-01-03 09:39:48,C102449,cancelled,Surat,Gujarat,240878
O800474,2024-01-03 09:45:32,C101237,delivered,Gurugram,Haryana,421776
O808699,2024-01-03 10:29:42,C102026,delivered,Mysuru,Karnataka,304941
O801153,2024-01-03 12:12:49,C102322,cancelled,Gurugram,Haryana,629339
O809630,2024-01-03 14:50:18,C101275,delivered,Indore,Madhya Pradesh,632741
O811843,2024-01-03 15:54:56,C101345,delivered,Pune,Maharashtra,546770
O811440,2024-01-03 18:21:53,C102509,delivered,Coimbatore,Tamil Nadu,371968
O806702,2024-01-03 20:42:44,C100025,delivered,Surat,Gujarat,615694
O808722,2024-01-03 22:02:18,C100994,delivered,Pune,Maharashtra,290680
O808688,2024-01-03 22:19:14,C100437,cancelled,Coimbatore,Tamil Nadu,368490
O803457,2024-01-03 22:21:07,C100343,delivered,Bengaluru,Karnataka,499715
O802105,2024-01-03 23:24:21,C100078,delivered,Chennai,Tamil Nadu,327984
O802911,2024-01-04 00:08:38,C102531,delivered,Lucknow,Uttar Pradesh,630766
O805881,2024-01-04 02:21:49,C100702,delivered,Delhi,Delhi,132076
O802205,2024-01-04 02:43:44,C101919,delivered,Kolkata,West Bengal,342409
O808478,2024-01-04 05:04:20,C102130,delivered,Delhi,Delhi,133880
O811513,2024-01-04 05:46:26,C101463,delivered,Kolkata,West Bengal,556742
O808984,2024-01-04 07:03:38,C101040,delivered,Coimbatore,Tamil Nadu,216242
O802387,2024-01-04 10:21:58,C101413,returned,Hyderabad,Telangana,254867
O803747,2024-01-04 11:11:59,C102338,delivered,Indore,Madhya Pradesh,632797
O811150,2024-01-04 11:52:50,C102074,delivered,Bengaluru,Karnataka,432089
O803920,2024-01-04 13:11:28,C100323,delivered,Surat,Gujarat,424444
O801634,2024-01-04 14:13:24,C102498,delivered,Pune,Maharashtra,153147
O803251,2024-01-04 17:09:16,C101183,delivered,Noida,Uttar Pradesh,665656
O804785,2024-01-04 19:34:09,C100823,returned,Mumbai,Maharashtra,124260
O805681,2024-01-04 20:13:23,C101256,cancelled,Indore,Madhya Pradesh,439572
O801113,2024-01-04 20:25:44,C101464,delivered,Mumbai,Maharashtra,253635
O811004,2024-01-04 22:17:40,C100436,delivered,Surat,Gujarat,204488
O808510,2024-01-04 23:17:25,C102845,delivered,Bhopal,Madhya Pradesh,547869
O808944,2024-01-04 23:45:05,C100851,shipped,Hyderabad,Telangana,576152
O802633,2024-01-05 00:13:35,C100842,delivered,Pune,Maharashtra,369488
O810780,2024-01-05 00:41:37,C101294,delivered,Kanpur,Uttar Pradesh,141017
O807325,2024-01-05 00:50:32,C101023,returned,Surat,Gujarat,215509
O801027,2024-01-05 04:18:36,C100294,delivered,Chennai,Tamil Nadu,412756
O808103,2024-01-05 05:01:28,C102775,delivered,Noida,Uttar Pradesh,422604
O802385,2024-01-05 06:33:35,C102532,delivered,Pune,Maharashtra,411951
O803736,2024-01-05 07:17:59,C100838,delivered,Coimbatore,Tamil Nadu,530331
O802636,2024-01-05 08:20:31,C101596,delivered,Bengaluru,Karnataka,483798
O801386,2024-01-05 09:40:57,C101540,returned,Nagpur,Maharashtra,573609
O811670,2024-01-05 11:04:28,C100547,delivered,Hyderabad,Telangana,474735
O810966,2024-01-05 11:44:15,C101726,delivered,Nagpur,Maharashtra,521249
O805870,2024-01-05 12:20:56,C101558,delivered,Ahmedabad,Gujarat,465887
O808262,2024-01-05 12:35:58,C100554,delivered,Bhopal,Madhya Pradesh,122755
O811265,2024-01-05 13:31:23,C100547,delivered,Hyderabad,Telangana,474735
O802961,2024-01-05 14:14:33,C101084,delivered,Ahmedabad,Gujarat,466440
O806706,2024-01-05 16:35:50,C101832,delivered,Mumbai,Maharashtra,315383
O808203,2024-01-05 17:21:32,C102805,delivered,Noida,Uttar Pradesh,432666
O810960,2024-01-05 18:28:56,C100499,delivered,Chennai,Tamil Nadu,608953
O805061,2024-01-05 20:37:50,C100764,delivered,Pune,Maharashtra,469267
O802954,2024-01-05 23:02:26,C100299,delivered,Pune,Maharashtra,184804
O811133,2024-01-06 03:09:36,C102657,delivered,Ahmedabad,Gujarat,218352
O803242,2024-01-06 04:08:38,C102200,delivered,Pune,Maharashtra,397374
O801031,2024-01-06 05:23:40,C102670,delivered,Chennai,Tamil Nadu,687569
O809612,2024-01-06 05:51:44,C102002,returned,Ahmedabad,Gujarat,477375
O807689,2024-01-06 07:24:56,C102534,delivered,Gurugram,Haryana,422499
O804236,2024-01-06 09:16:17,C100735,delivered,Mysuru,Karnataka,593075
O809652,2024-01-06 09:23:22,C101208,delivered,Bengaluru,Karnataka,139717
O808865,2024-01-06 10:01:57,C101216,delivered,Kolkata,West Bengal,212537
O803425,2024-01-06 12:33:30,C101280,cancelled,Noida,Uttar Pradesh,489989
O808850,2024-01-06 14:29:48,C100823,delivered,Mumbai,Maharashtra,124260
O810177,2024-01-06 14:54:39,C100554,delivered,Bhopal,Madhya Pradesh,122755
O807061,2024-01-06 16:47:41,C100810,processing,Indore,Madhya Pradesh,691176
O811754,2024-01-06 17:04:01,C100470,delivered,Pune,Maharashtra,553148
O810840,2024-01-06 17:56:11,C100702,delivered,Delhi,Delhi,132076
O806790,2024-01-06 18:35:09,C102223,delivered,Pune,Maharashtra,215153
O804151,2024-01-06 20:04:14,C102016,delivered,Ahmedabad,Gujarat,454087
O807419,2024-01-06 20:19:53,C102702,shipped,Gurugram,Haryana,620559
O806228,2024-01-06 21:21:46,C100616,delivered,Noida,Uttar Pradesh,494784
O810344,2024-01-07 02:54:38,C100163,delivered,Ahmedabad,Gujarat,287216
O803802,2024-01-07 06:35:18,C101667,delivered,Lucknow,Uttar Pradesh,643008
O808800,2024-01-07 07:02:17,C102217,delivered,Kolkata,West Bengal,648785
O801172,2024-01-07 08:41:30,C101617,delivered,Mysuru,Karnataka,456418
O802036,2024-01-07 09:43:12,C100008,cancelled,Kanpur,Uttar Pradesh,277809
O809538,2024-01-07 10:09:59,C102967,delivered,Indore,Madhya Pradesh,648207
O805930,2024-01-07 10:43:24,C101854,delivered,Mumbai,Maharashtra,649775
O811464,2024-01-07 10:51:52,C100865,cancelled,Ahmedabad,Gujarat,178754
O810434,2024-01-07 12:29:57,C102084,delivered,Indore,Madhya Pradesh,376013
O807204,2024-01-07 14:38:17,C101425,delivered,Delhi,Delhi,181325
O809548,2024-01-07 15:49:03,C102158,delivered,Gurugram,Haryana,289614
O809931,2024-01-07 18:15:41,C102620,delivered,Coimbatore,Tamil Nadu,230730
O802972,2024-01-08 02:35:13,C101141,delivered,Pune,Maharashtra,141541
O808881,2024-01-08 03:36:41,C102571,delivered,Coimbatore,Tamil Nadu,295102
O803985,2024-01-08 05:10:26,C101442,delivered,Hyderabad,Telangana,182894
O800559,2024-01-08 08:56:24,C100210,delivered,Chennai,Tamil Nadu,266810
O803785,2024-01-08 09:21:06,C102783,delivered,Indore,Madhya Pradesh,254535
O801115,2024-01-08 10:30:24,C102697,shipped,Lucknow,Uttar Pradesh,389819
O806697,2024-01-08 11:50:29,C101134,processing,Indore,Madhya Pradesh,661250
O806773,2024-01-08 12:37:08,C101835,processing,Delhi,Delhi,681920
O805567,2024-01-08 13:46:45,C100786,delivered,Kolkata,West Bengal,243692
O806914,2024-01-08 15:16:24,C102612,delivered,Surat,Gujarat,279573
O810385,2024-01-08 15:28:12,C102912,delivered,Jaipur,Rajasthan,685746
O802132,2024-01-08 16:43:10,C100957,delivered,Mysuru,Karnataka,460697
O801787,2024-01-08 17:57:42,C102708,delivered,Kanpur,Uttar Pradesh,602492
O804369,2024-01-08 18:18:32,C100910,cancelled,Noida,Uttar Pradesh,667985
O805080,2024-01-08 20:33:14,C100978,delivered,Kolkata,West Bengal,372070
O805503,2024-01-08 21:42:12,C100178,delivered,Bengaluru,Karnataka,378602
O802823,2024-01-08 22:28:11,C101895,returned,Hyderabad,Telangana,364043
O807786,2024-01-08 22:39:02,C102791,delivered,Indore,Madhya Pradesh,333393
O807355,2024-01-08 22:40:23,C101226,returned,Pune,Maharashtra,462699
O809483,2024-01-09 01:02:41,C102363,cancelled,Kolkata,West Bengal,602281
O804883,2024-01-09 01:49:17,C101254,delivered,Kolkata,West Bengal,589456
O810638,2024-01-09 01:55:42,C101047,delivered,Hyderabad,Telangana,557185
O804809,2024-01-09 03:49:50,C102699,delivered,Lucknow,Uttar Pradesh,502544
O801347,2024-01-09 04:19:17,C100322,delivered,Noida,Uttar Pradesh,690464
O809000,2024-01-09 05:00:26,C101965,delivered,Mumbai,Maharashtra,269950
O808415,2024-01-09 05:08:34,C102813,delivered,Hyderabad,Telangana,214332
O803688,2024-01-09 06:25:35,C100051,delivered,Mumbai,Maharashtra,579791
O806264,2024-01-09 06:55:23,C102807,delivered,Ahmedabad,Gujarat,222099
O808134,2024-01-09 08:29:28,C100224,returned,Bengaluru,Karnataka,666357
O806543,2024-01-09 09:54:04,C102302,shipped,Mysuru,Karnataka,618810
O806449,2024-01-09 10:38:45,C101675,delivered,Gurugram,Haryana,140653
O808986,2024-01-09 13:21:56,C102213,delivered,Bhopal,Madhya Pradesh,259177
O810422,2024-01-09 13:31:36,C100233,delivered,Indore,Madhya Pradesh,550126
O801747,2024-01-09 17:23:50,C100491,delivered,Jaipur,Rajasthan,147067
O806342,2024-01-09 17:26:37,C101549,delivered,Chennai,Tamil Nadu,230360
O809669,2024-01-09 19:17:49,C101955,delivered,Ahmedabad,Gujarat,447927
O808141,2024-01-09 21:39:15,C102038,processing,Noida,Uttar Pradesh,345067
O805323,2024-01-09 23:23:31,C101540,returned,Nagpur,Maharashtra,573609
O805476,2024-01-09 23:54:37,C102443,cancelled,Kolkata,West Bengal,431243
O808838,2024-01-10 04:08:20,C101976,delivered,Mumbai,Maharashtra,300093
O803900,2024-01-10 04:09:13,C102244,delivered,Hyderabad,Telangana,625340
O805862,2024-01-10 05:13:54,C100635,delivered,Gurugram,Haryana,682290
O809073,2024-01-10 05:23:59,C100355,delivered,Kolkata,West Bengal,629904
O803801,2024-01-10 05:41:26,C101527,delivered,Gurugram,Haryana,687621
O801049,2024-01-10 06:58:37,C101542,delivered,Ahmedabad,Gujarat,178682
O801413,2024-01-10 07:25:50,C101415,returned,Pune,Maharashtra,422051
O800989,2024-01-10 08:09:11,C100429,delivered,Indore,Madhya Pradesh,242797
O810809,2024-01-10 08:23:18,C102670,shipped,Chennai,Tamil Nadu,687569
O807321,2024-01-10 10:51:18,C102785,delivered,Bhopal,Madhya Pradesh,570221
O803930,2024-01-10 11:31:12,C102542,delivered,Mumbai,Maharashtra,331666
O808827,2024-01-10 13:45:59,C100290,delivered,Nagpur,Maharashtra,205696
O804921,2024-01-10 15:00:53,C102324,delivered,Pune,Maharashtra,417674
O804441,2024-01-10 16:10:15,C102770,delivered,Gurugram,Haryana,460857
O807289,2024-01-10 16:52:41,C102440,returned,Surat,Gujarat,443869
O810396,2024-01-10 17:24:41,C102157,delivered,Pune,Maharashtra,191588
O810259,2024-01-10 19:11:17,C101591,processing,Surat,Gujarat,181240
O804596,2024-01-10 19:13:31,C100494,processing,Noida,Uttar Pradesh,627961
O811092,2024-01-10 21:17:04,C101194,returned,Nagpur,Maharashtra,667647
O802793,2024-01-10 23:15:16,C101025,delivered,Nagpur,Maharashtra,224310
O811233,2024-01-11 00:05:48,C102206,delivered,Indore,Madhya Pradesh,372128
O803730,2024-01-11 00:17:00,C102673,cancelled,Nagpur,Maharashtra,569567
O801431,2024-01-11 00:56:54,C101521,delivered,Delhi,Delhi,342459
O808112,2024-01-11 01:46:16,C102466,delivered,Mysuru,Karnataka,664840
O808580,2024-01-11 06:07:25,C100030,delivered,Coimbatore,Tamil Nadu,625609
O802100,2024-01-11 08:32:17,C101023,cancelled,Surat,Gujarat,215509
O801548,2024-01-11 08:39:36,C100674,delivered,Bengaluru,Karnataka,110559
O801317,2024-01-11 09:17:45,C101171,delivered,Noida,Uttar Pradesh,476349
O810176,2024-01-11 10:07:21,C102201,shipped,Bengaluru,Karnataka,159262
O802040,2024-01-11 14:13:02,C100133,delivered,Hyderabad,Telangana,521811
O802707,2024-01-11 14:54:18,C100840,delivered,Jaipur,Rajasthan,167124
O808763,2024-01-11 15:59:33,C101160,processing,Noida,Uttar Pradesh,594103
O802394,2024-01-11 17:39:22,C102934,delivered,Kanpur,Uttar Pradesh,638419
O804571,2024-01-11 19:28:32,C101480,returned,Pune,Maharashtra,317892
O810204,2024-01-11 21:41:00,C100634,delivered,Jaipur,Rajasthan,117928
