order_id,payment_type,amount,shipping_fee
O811458,UPI,,0
O800295,COD,,0
O805421,NetBanking,,0
O808829,Credit Card,,0
O803658,Credit Card,,0
O805813,NetBanking,,0
O801370,Debit Card,,0
O803781,UPI,,0
O807349,COD,,0
O809564,COD,,0
O804990,UPI,,0
O801398,Credit Card,,0
O802468,UPI,,0
O803851,UPI,,0
O811267,UPI,,0
O802659,COD,,0
O811227,UPI,,0
O808825,Debit Card,,0
O800087,Credit Card,,0
O805690,Credit Card,,0
O803365,Credit Card,,0
O802906,Debit Card,,0
O810043,COD,,0
O808835,UPI,,0
O804424,UPI,,0
O811176,UPI,,0
O809257,NetBanking,,0
O805162,UPI,,0
O800475,COD,,0
O809392,NetBanking,,0
O807810,UPI,,0
O809041,UPI,,0
O811361,Debit Card,,0
O810901,NetBanking,,0
O800407,Credit Card,,0
O802822,UPI,,0
O805547,UPI,,0
O810159,UPI,,0
O802688,UPI,,0
O803184,UPI,,0
O811409,Credit Card,,0
O808793,Debit Card,,0
O800474,COD,,0
O808699,NetBanking,,0
O801153,Debit Card,,0
O809630,COD,,0
O811843,COD,,0
O811440,UPI,,0
O806702,Debit Card,,0
O808722,UPI,,0
O808688,Wallet,,0
O803457,COD,,0
O802105,Credit Card,,0
O802911,Debit Card,,0
O805881,Credit Card,,0
O802205,COD,,0
O808478,Credit Card,,0
O811513,UPI,,0
O808984,Credit Card,,0
O802387,UPI,,0
O803747,COD,,0
O811150,UPI,,0
O803920,Credit Card,,0
O801634,UPI,,0
O803251,Credit Card,,0
O804785,Wallet,,0
O805681,COD,,0
O801113,Debit Card,,0
O811004,Debit Card,,0
O808510,Credit Card,,0
O808944,UPI,,0
O802633,UPI,,0
O810780,UPI,,0
O807325,Credit Card,,0
O801027,UPI,,0
O808103,Credit Card,,0
O802385,COD,,0
O803736,Credit Card,,0
O802636,Credit Card,,0
O801386,Credit Card,,0
O811670,UPI,,0
O810966,UPI,,0
O805870,COD,,0
O808262,UPI,,0
O811265,UPI,,0
O802961,UPI,,0
O806706,NetBanking,,0
O808203,UPI,,0
O810960,Debit Card,,0
O805061,Credit Card,,0
O802954,Credit Card,,0
O811133,COD,,0
O803242,UPI,,0
O801031,Debit Card,,0
O809612,COD,,0
O807689,UPI,,0
O804236,UPI,,0
O809652,Credit Card,,0
O808865,COD,,0
O803425,Debit Card,,0
O808850,COD,,0
O810177,UPI,,0
O807061,NetBanking,,0
O811754,UPI,,0
O810840,Credit Card,,0
O806790,COD,,0
O804151,UPI,,0
O807419,UPI,,0
O806228,Credit Card,,0
O810344,UPI,,0
O803802,UPI,,0
O808800,UPI,,0
O801172,UPI,,0
O802036,UPI,,0
O809538,UPI,,0
O805930,UPI,,0
O811464,Credit Card,,0
O810434,Credit Card,,0
O807204,Credit Card,,0
O809548,Credit Card,,0
O809931,COD,,40
O802972,Credit Card,,0
O808881,UPI,,0
O803985,NetBanking,,0
O800559,COD,,0
O803785,UPI,,60
O801115,UPI,,0
O806697,UPI,,0
O806773,UPI,,0
O805567,COD,,0
O806914,Credit Card,,60
O810385,COD,,0
O802132,Debit Card,,0
O801787,UPI,,0
O804369,Credit Card,,0
O805080,NetBanking,,0
O805503,UPI,,0
O802823,Credit Card,,0
O807786,COD,,0
O807355,Wallet,,0
O809483,NetBanking,,0
O804883,UPI,,0
O810638,UPI,,0
O804809,Debit Card,,0
O801347,COD,,0
O809000,UPI,,0
O808415,UPI,,0
O803688,Credit Card,,0
O806264,Debit Card,,0
O808134,COD,,0
O806543,UPI,,0
O806449,Credit Card,,0
O808986,Credit Card,,0
O810422,NetBanking,,0
O801747,Credit Card,,60
O806342,Credit Card,,0
O809669,Credit Card,,0
O808141,UPI,,0
O805323,Credit Card,,0
O805476,Credit Card,,0
O808838,UPI,,0
O803900,Debit Card,,0
O805862,NetBanking,,0
O809073,Credit Card,,0
O803801,UPI,,0
O801049,Credit Card,,0
O801413,UPI,,0
O800989,UPI,,0
O810809,UPI,,0
O807321,UPI,,0
O803930,COD,,0
O808827,UPI,,0
O804921,Debit Card,,0
O804441,COD,,0
O807289,Debit Card,,0
O810396,Credit Card,,0
O810259,Credit Card,,0
O804596,UPI,,0
O811092,COD,,0
O802793,Debit Card,,0
O811233,UPI,,0
O803730,COD,,0
O801431,UPI,,0
O808112,Credit Card,,0
O808580,UPI,,0
O802100,Credit Card,,0
O801548,Credit Card,,0
O801317,Credit Card,,0
O810176,Credit Card,,0
O802040,UPI,,60
O802707,UPI,,0
O808763,Debit Card,,0
O802394,UPI,,0
O804571,Credit Card,,0
O810204,NetBanking,,0
O804544,Debit Card,,0
O800449,COD,,0
O801299,NetBanking,,0
O806777,COD,,0
O808398,UPI,,0
O800368,UPI,,0
O807630,UPI,,0
O808115,UPI,,0
O809204,UPI,,0
O810914,UPI,,0
O802434,COD,,0
O801373,UPI,,0
O802037,COD,,0
O810403,UPI,,0
O803447,Credit Card,,0
O810454,COD,,0
O808475,Credit Card,,0
O811586,UPI,,0
O804717,Credit Card,,0
O805091,COD,,0
O810766,UPI,,0
O802520,NetBanking,,0
O800741,NetBanking,,0
O806667,Credit Card,,0
O801881,UPI,,0
O804929,UPI,,0
O807719,UPI,,0
O800629,COD,,0
O808948,Credit Card,,0
O802187,UPI,,0
O802445,Debit Card,,0
O808377,UPI,,40
O806952,Wallet,,0
O810850,UPI,,0
O809719,COD,,0
O809006,Credit Card,,0
O801607,COD,,0
O809180,UPI,,0
O810125,Credit Card,,0
O807405,Debit Card,,0
O809473,Credit Card,,0
O809826,UPI,,0
O805568,COD,,0
O801039,UPI,,0
O810494,UPI,,0
O811031,Credit Card,,0
O801462,COD,,0
O807475,UPI,,0
O810220,COD,,0
O802494,Credit Card,,0
O809274,UPI,,0
O801688,UPI,,0
O805508,UPI,,0
O807208,Credit Card,,0
O800117,UPI,,0
O801340,Debit Card,,0
O801903,UPI,,0
O806245,UPI,,0
O801220,UPI,,0
O811025,UPI,,0
O807267,UPI,,0
O810937,UPI,,0
O801983,Wallet,,0
O805034,UPI,,0
O811550,COD,,0
O811430,Debit Card,,0
O805512,UPI,,0
O809785,COD,,0
O803360,Credit Card,,0
O809908,UPI,,0
O807766,COD,,0
O811373,NetBanking,,0
O806955,UPI,,0
O811386,UPI,,0
O811683,Debit Card,,0
O811434,UPI,,0
O800897,Debit Card,,0
O810671,UPI,,0
O800725,UPI,,0
O810394,Credit Card,,0
O801289,Credit Card,,0
O805076,Debit Card,,0
O809213,Debit Card,,0
O807280,Credit Card,,0
O811189,COD,,0
O804861,COD,,0
O809562,UPI,,0
O802715,Debit Card,,0
O807696,NetBanking,,0
O805887,Credit Card,,0
O800927,UPI,,0
O801309,Credit Card,,0
O803537,COD,,0
O811421,UPI,,0
O803897,Credit Card,,0
O809824,COD,,0
O805492,COD,,0
O805118,COD,,0
O801231,COD,,0
O801488,Debit Card,,0
O811530,Credit Card,,0
O807286,Credit Card,,0
O804650,UPI,,0
O805659,Credit Card,,0
O809656,NetBanking,,0
O803922,Debit Card,,0
O810886,UPI,,0
O809840,Credit Card,,0
O800781,UPI,,0
O804837,Credit Card,,0
O802086,Wallet,,0
O804712,Credit Card,,0
O811388,COD,,0
O807159,UPI,,0
O804312,NetBanking,,0
O805868,Credit Card,,0
O808677,Credit Card,,0
O802930,Wallet,,0
O807770,UPI,,0
O811317,COD,,0
O807183,COD,,0
O804112,UPI,,0
O807871,UPI,,0
O809294,COD,,0
O804040,COD,,0
O804365,Credit Card,,0
O805809,COD,,0
O809767,UPI,,0
O805891,COD,,0
O802266,NetBanking,,0
O811523,Credit Card,,0
O802654,UPI,,0
O801956,UPI,,0
O811158,NetBanking,,0
O808462,Debit Card,,0
O809741,COD,,0
O804665,COD,,40
O810989,UPI,,0
O805829,UPI,,0
O808052,COD,,0
O811469,Credit Card,,0
O811462,Credit Card,,0
O804853,Credit Card,,0
O808545,Debit Card,,0
O801886,Debit Card,,0
O802236,Credit Card,,0
O802999,UPI,,0
O802643,COD,,0
O810173,Debit Card,,0
