order_id,shipment_date,expected_delivery_date,delivery_date,on_time_delivery
O811458,2024-01-02 00:10:17,2024-01-04 00:10:17,2024-01-04 00:10:17,1.0
O800295,2024-01-01 00:13:34,2024-01-07 00:13:34,2024-01-07 00:13:34,1.0
O805421,2024-01-02 01:15:54,2024-01-05 01:15:54,,
O808829,2024-01-02 04:06:27,2024-01-07 04:06:27,2024-01-07 04:06:27,1.0
O803658,2024-01-01 04:31:31,2024-01-04 04:31:31,2024-01-04 04:31:31,1.0
O805813,2024-01-01 11:05:06,2024-01-04 11:05:06,2024-01-04 11:05:06,1.0
O801370,2024-01-01 12:54:35,2024-01-05 12:54:35,2024-01-08 12:54:35,0.0
O803781,2024-01-01 16:05:42,2024-01-07 16:05:42,2024-01-07 16:05:42,1.0
O807349,2024-01-01 16:15:27,2024-01-05 16:15:27,2024-01-05 16:15:27,1.0
O809564,2024-01-01 18:16:23,2024-01-05 18:16:23,2024-01-10 18:16:23,0.0
O804990,2024-01-02 18:21:23,2024-01-04 18:21:23,,
O801398,2024-01-02 18:40:58,2024-01-06 18:40:58,2024-01-06 18:40:58,1.0
O802468,2024-01-01 18:42:03,2024-01-05 18:42:03,2024-01-05 18:42:03,1.0
O803851,2024-01-02 18:50:24,2024-01-05 18:50:24,2024-01-05 18:50:24,1.0
O811267,2024-01-02 20:07:25,2024-01-05 20:07:25,2024-01-05 20:07:25,1.0
O802659,2024-01-02 20:45:45,2024-01-05 20:45:45,2024-01-05 20:45:45,1.0
O811227,2024-01-02 00:41:55,2024-01-04 00:41:55,2024-01-07 00:41:55,0.0
O808825,2024-01-03 00:49:19,2024-01-08 00:49:19,,
O800087,2024-01-02 01:30:10,2024-01-06 01:30:10,2024-01-06 01:30:10,1.0
O805690,2024-01-02 02:08:58,2024-01-06 02:08:58,,
O803365,2024-01-02 02:34:32,2024-01-06 02:34:32,2024-01-06 02:34:32,1.0
O802906,2024-01-02 02:54:07,2024-01-08 02:54:07,2024-01-08 02:54:07,1.0
O810043,2024-01-02 03:15:13,2024-01-07 03:15:13,2024-01-07 03:15:13,1.0
O808835,2024-01-03 03:26:22,2024-01-05 03:26:22,2024-01-05 03:26:22,1.0
O804424,2024-01-03 05:35:00,2024-01-04 05:35:00,2024-01-08 05:35:00,0.0
O811176,2024-01-03 05:50:12,2024-01-07 05:50:12,2024-01-07 05:50:12,1.0
O809257,2024-01-02 06:06:47,2024-01-05 06:06:47,2024-01-05 06:06:47,1.0
O805162,2024-01-02 09:27:49,2024-01-04 09:27:49,2024-01-04 09:27:49,1.0
O800475,2024-01-02 11:53:09,2024-01-08 11:53:09,,
O809392,2024-01-03 12:36:17,2024-01-05 12:36:17,2024-01-05 12:36:17,1.0
O807810,2024-01-02 13:34:18,2024-01-06 13:34:18,2024-01-06 13:34:18,1.0
O809041,2024-01-03 15:16:46,2024-01-05 15:16:46,,
O811361,2024-01-02 16:40:51,2024-01-04 16:40:51,2024-01-04 16:40:51,1.0
O810901,2024-01-03 22:13:36,2024-01-05 22:13:36,2024-01-05 22:13:36,1.0
O800407,2024-01-03 00:57:31,2024-01-05 00:57:31,,
O802822,2024-01-03 01:16:07,2024-01-05 01:16:07,2024-01-05 01:16:07,1.0
O805547,2024-01-03 01:19:49,2024-01-08 01:19:49,2024-01-08 01:19:49,1.0
O810159,2024-01-04 03:24:30,2024-01-08 03:24:30,2024-01-08 03:24:30,1.0
O802688,2024-01-04 05:34:48,2024-01-09 05:34:48,2024-01-09 05:34:48,1.0
O803184,2024-01-03 07:21:09,2024-01-06 07:21:09,2024-01-06 07:21:09,1.0
O811409,2024-01-04 09:24:51,2024-01-06 09:24:51,2024-01-06 09:24:51,1.0
O808793,2024-01-03 09:39:48,2024-01-08 09:39:48,,
O800474,2024-01-04 09:45:32,2024-01-07 09:45:32,2024-01-07 09:45:32,1.0
O808699,2024-01-03 10:29:42,2024-01-08 10:29:42,2024-01-08 10:29:42,1.0
O801153,2024-01-04 12:12:49,2024-01-08 12:12:49,,
O809630,2024-01-04 14:50:18,2024-01-09 14:50:18,2024-01-09 14:50:18,1.0
O811843,2024-01-03 15:54:56,2024-01-06 15:54:56,2024-01-06 15:54:56,1.0
O811440,2024-01-04 18:21:53,2024-01-06 18:21:53,2024-01-06 18:21:53,1.0
O806702,2024-01-04 20:42:44,2024-01-07 20:42:44,2024-01-07 20:42:44,1.0
O808722,2024-01-04 22:02:18,2024-01-07 22:02:18,2024-01-07 22:02:18,1.0
O808688,2024-01-03 22:19:14,2024-01-09 22:19:14,,
O803457,2024-01-03 22:21:07,2024-01-06 22:21:07,2024-01-06 22:21:07,1.0
O802105,2024-01-04 23:24:21,2024-01-07 23:24:21,2024-01-07 23:24:21,1.0
O802911,2024-01-04 00:08:38,2024-01-07 00:08:38,2024-01-07 00:08:38,1.0
O805881,2024-01-05 02:21:49,2024-01-06 02:21:49,2024-01-06 02:21:49,1.0
O802205,2024-01-05 02:43:44,2024-01-06 02:43:44,2024-01-06 02:43:44,1.0
O808478,2024-01-05 05:04:20,2024-01-06 05:04:20,2024-01-06 05:04:20,1.0
O811513,2024-01-05 05:46:26,2024-01-07 05:46:26,2024-01-07 05:46:26,1.0
O808984,2024-01-05 07:03:38,2024-01-08 07:03:38,2024-01-08 07:03:38,1.0
O802387,2024-01-04 10:21:58,2024-01-07 10:21:58,,
O803747,2024-01-04 11:11:59,2024-01-09 11:11:59,2024-01-09 11:11:59,1.0
O811150,2024-01-05 11:52:50,2024-01-10 11:52:50,2024-01-10 11:52:50,1.0
O803920,2024-01-05 13:11:28,2024-01-09 13:11:28,2024-01-09 13:11:28,1.0
O801634,2024-01-04 14:13:24,2024-01-06 14:13:24,2024-01-06 14:13:24,1.0
O803251,2024-01-05 17:09:16,2024-01-06 17:09:16,2024-01-06 17:09:16,1.0
O804785,2024-01-05 19:34:09,2024-01-09 19:34:09,,
O805681,2024-01-05 20:13:23,2024-01-08 20:13:23,,
O801113,2024-01-05 20:25:44,2024-01-07 20:25:44,2024-01-07 20:25:44,1.0
O811004,2024-01-04 22:17:40,2024-01-09 22:17:40,2024-01-14 22:17:40,0.0
O808510,2024-01-04 23:17:25,2024-01-06 23:17:25,2024-01-06 23:17:25,1.0
O808944,2024-01-05 23:45:05,2024-01-07 23:45:05,,
O802633,2024-01-06 00:13:35,2024-01-08 00:13:35,2024-01-08 00:13:35,1.0
O810780,2024-01-06 00:41:37,2024-01-07 00:41:37,2024-01-07 00:41:37,1.0
O807325,2024-01-05 00:50:32,2024-01-09 00:50:32,,
O801027,2024-01-06 04:18:36,2024-01-08 04:18:36,2024-01-08 04:18:36,1.0
O808103,2024-01-06 05:01:28,2024-01-09 05:01:28,2024-01-09 05:01:28,1.0
O802385,2024-01-06 06:33:35,2024-01-09 06:33:35,2024-01-09 06:33:35,1.0
O803736,2024-01-05 07:17:59,2024-01-09 07:17:59,2024-01-09 07:17:59,1.0
O802636,2024-01-06 08:20:31,2024-01-09 08:20:31,2024-01-09 08:20:31,1.0
O801386,2024-01-06 09:40:57,2024-01-11 09:40:57,,
O811670,2024-01-05 11:04:28,2024-01-10 11:04:28,2024-01-10 11:04:28,1.0
O810966,2024-01-06 11:44:15,2024-01-09 11:44:15,2024-01-09 11:44:15,1.0
O805870,2024-01-06 12:20:56,2024-01-08 12:20:56,2024-01-12 12:20:56,0.0
O808262,2024-01-05 12:35:58,2024-01-08 12:35:58,2024-01-08 12:35:58,1.0
O811265,2024-01-05 13:31:23,2024-01-10 13:31:23,2024-01-10 13:31:23,1.0
O802961,2024-01-05 14:14:33,2024-01-10 14:14:33,2024-01-10 14:14:33,1.0
O806706,2024-01-05 16:35:50,2024-01-07 16:35:50,2024-01-07 16:35:50,1.0
O808203,2024-01-06 17:21:32,2024-01-11 17:21:32,2024-01-11 17:21:32,1.0
O810960,2024-01-05 18:28:56,2024-01-09 18:28:56,2024-01-09 18:28:56,1.0
O805061,2024-01-06 20:37:50,2024-01-07 20:37:50,2024-01-07 20:37:50,1.0
O802954,2024-01-05 23:02:26,2024-01-11 23:02:26,2024-01-11 23:02:26,1.0
O811133,2024-01-06 03:09:36,2024-01-09 03:09:36,2024-01-09 03:09:36,1.0
O803242,2024-01-07 04:08:38,2024-01-10 04:08:38,2024-01-10 04:08:38,1.0
O801031,2024-01-07 05:23:40,2024-01-10 05:23:40,2024-01-10 05:23:40,1.0
O809612,2024-01-07 05:51:44,2024-01-09 05:51:44,,
O807689,2024-01-07 07:24:56,2024-01-08 07:24:56,2024-01-08 07:24:56,1.0
O804236,2024-01-07 09:16:17,2024-01-10 09:16:17,2024-01-10 09:16:17,1.0
O809652,2024-01-06 09:23:22,2024-01-09 09:23:22,2024-01-09 09:23:22,1.0
O808865,2024-01-07 10:01:57,2024-01-10 10:01:57,2024-01-10 10:01:57,1.0
O803425,2024-01-07 12:33:30,2024-01-11 12:33:30,,
O808850,2024-01-06 14:29:48,2024-01-08 14:29:48,2024-01-08 14:29:48,1.0
O810177,2024-01-07 14:54:39,2024-01-10 14:54:39,2024-01-10 14:54:39,1.0
O807061,2024-01-07 16:47:41,2024-01-11 16:47:41,,
O811754,2024-01-07 17:04:01,2024-01-08 17:04:01,2024-01-08 17:04:01,1.0
O810840,2024-01-06 17:56:11,2024-01-09 17:56:11,2024-01-09 17:56:11,1.0
O806790,2024-01-06 18:35:09,2024-01-10 18:35:09,2024-01-10 18:35:09,1.0
O804151,2024-01-06 20:04:14,2024-01-11 20:04:14,2024-01-11 20:04:14,1.0
O807419,2024-01-07 20:19:53,2024-01-10 20:19:53,,
O806228,2024-01-06 21:21:46,2024-01-11 21:21:46,2024-01-11 21:21:46,1.0
O810344,2024-01-07 02:54:38,2024-01-12 02:54:38,2024-01-12 02:54:38,1.0
O803802,2024-01-08 06:35:18,2024-01-12 06:35:18,2024-01-12 06:35:18,1.0
O808800,2024-01-07 07:02:17,2024-01-10 07:02:17,2024-01-10 07:02:17,1.0
O801172,2024-01-08 08:41:30,2024-01-10 08:41:30,2024-01-10 08:41:30,1.0
O802036,2024-01-07 09:43:12,2024-01-11 09:43:12,,
O809538,2024-01-07 10:09:59,2024-01-11 10:09:59,2024-01-11 10:09:59,1.0
O805930,2024-01-07 10:43:24,2024-01-09 10:43:24,2024-01-09 10:43:24,1.0
O811464,2024-01-08 10:51:52,2024-01-12 10:51:52,,
O810434,2024-01-08 12:29:57,2024-01-10 12:29:57,2024-01-10 12:29:57,1.0
O807204,2024-01-08 14:38:17,2024-01-10 14:38:17,2024-01-10 14:38:17,1.0
O809548,2024-01-07 15:49:03,2024-01-10 15:49:03,2024-01-10 15:49:03,1.0
O809931,2024-01-07 18:15:41,2024-01-10 18:15:41,2024-01-10 18:15:41,1.0
O802972,2024-01-09 02:35:13,2024-01-11 02:35:13,2024-01-11 02:35:13,1.0
O808881,2024-01-08 03:36:41,2024-01-13 03:36:41,2024-01-13 03:36:41,1.0
O803985,2024-01-08 05:10:26,2024-01-11 05:10:26,2024-01-11 05:10:26,1.0
O800559,2024-01-09 08:56:24,2024-01-11 08:56:24,2024-01-11 08:56:24,1.0
O803785,2024-01-08 09:21:06,2024-01-11 09:21:06,2024-01-11 09:21:06,1.0
O801115,2024-01-08 10:30:24,2024-01-11 10:30:24,,
O806697,2024-01-08 11:50:29,2024-01-12 11:50:29,,
O806773,2024-01-09 12:37:08,2024-01-13 12:37:08,,
O805567,2024-01-08 13:46:45,2024-01-12 13:46:45,2024-01-12 13:46:45,1.0
O806914,2024-01-08 15:16:24,2024-01-13 15:16:24,2024-01-13 15:16:24,1.0
O810385,2024-01-09 15:28:12,2024-01-14 15:28:12,2024-01-14 15:28:12,1.0
O802132,2024-01-08 16:43:10,2024-01-11 16:43:10,2024-01-16 16:43:10,0.0
O801787,2024-01-08 17:57:42,2024-01-11 17:57:42,2024-01-11 17:57:42,1.0
O804369,2024-01-08 18:18:32,2024-01-12 18:18:32,,
O805080,2024-01-08 20:33:14,2024-01-12 20:33:14,2024-01-12 20:33:14,1.0
O805503,2024-01-08 21:42:12,2024-01-12 21:42:12,2024-01-12 21:42:12,1.0
O802823,2024-01-08 22:28:11,2024-01-13 22:28:11,,
O807786,2024-01-09 22:39:02,2024-01-11 22:39:02,2024-01-11 22:39:02,1.0
O807355,2024-01-09 22:40:23,2024-01-10 22:40:23,,
O809483,2024-01-10 01:02:41,2024-01-13 01:02:41,,
O804883,2024-01-09 01:49:17,2024-01-11 01:49:17,2024-01-11 01:49:17,1.0
O810638,2024-01-10 01:55:42,2024-01-11 01:55:42,2024-01-11 01:55:42,1.0
O804809,2024-01-09 03:49:50,2024-01-13 03:49:50,2024-01-18 03:49:50,0.0
O801347,2024-01-09 04:19:17,2024-01-13 04:19:17,2024-01-13 04:19:17,1.0
O809000,2024-01-10 05:00:26,2024-01-13 05:00:26,2024-01-16 05:00:26,0.0
O808415,2024-01-09 05:08:34,2024-01-11 05:08:34,2024-01-11 05:08:34,1.0
O803688,2024-01-10 06:25:35,2024-01-12 06:25:35,2024-01-12 06:25:35,1.0
O806264,2024-01-09 06:55:23,2024-01-12 06:55:23,2024-01-12 06:55:23,1.0
O808134,2024-01-09 08:29:28,2024-01-14 08:29:28,,
O806543,2024-01-09 09:54:04,2024-01-12 09:54:04,,
O806449,2024-01-09 10:38:45,2024-01-14 10:38:45,2024-01-16 10:38:45,0.0
O808986,2024-01-09 13:21:56,2024-01-14 13:21:56,2024-01-19 13:21:56,0.0
O810422,2024-01-10 13:31:36,2024-01-13 13:31:36,2024-01-13 13:31:36,1.0
O801747,2024-01-10 17:23:50,2024-01-14 17:23:50,2024-01-14 17:23:50,1.0
O806342,2024-01-10 17:26:37,2024-01-13 17:26:37,2024-01-13 17:26:37,1.0
O809669,2024-01-10 19:17:49,2024-01-12 19:17:49,2024-01-12 19:17:49,1.0
O808141,2024-01-10 21:39:15,2024-01-11 21:39:15,,
O805323,2024-01-09 23:23:31,2024-01-13 23:23:31,,
O805476,2024-01-10 23:54:37,2024-01-12 23:54:37,,
O808838,2024-01-11 04:08:20,2024-01-14 04:08:20,2024-01-14 04:08:20,1.0
O803900,2024-01-11 04:09:13,2024-01-13 04:09:13,2024-01-13 04:09:13,1.0
